OBJECTID,Projects,Ward,Units,Year Built,Address,City,State,Zipcode,Management Company,Property Manager Contact,Sponsored By,Sponsory Contact,Bondholder,Loan Status (Bonds Redeemed / Active / Recently Converted),Risk Share / Non Risk Share,Renovation / New Construction Year,Building Type,Construction Type,Occupancy Type,Subsidized Programs,Loan Closing Date,Original Loan Balance,Maturity Date,Compliance Period End Date,Asset Manager,MAR_LATITUDE,MAR_LONGITUDE,MARID,GlobalID,EditDate,x,y
1,1100 Eastern Ave ,Ward 7,63,2020,1100 Eastern Ave ,Washington,DC,20019,Residential One,"Louis Sigalas 301-939-4488, lsigalas@res1.net","1100 Eastern LLC,",Michael Giulioni 202-567-3215,JPMORGAN CHASE BANK NA,Under Construction,Non Risk Share,2020,Mid Rise 5 Floors ,New Construction,"Residential, Homeless 100 @ 50% AMI or less",PSH,2/19/2020 12:00:00 AM,13900000,2/19/2050,2/15/2035 12:00:00 AM,Sidney,38.90413742,-76.92417882,74597,91b76e76-bd8d-40c4-ad9c-51cb6b2ba648,10/13/2022 8:33:29 PM,406576.836719193,137366.454816217
2,1164 Bladensburg Road,Ward 5,65,2018,1164 Bladensburg Road,Washington,DC,20002,Residential One,Jibi George ,Neighborhood Development Company,Taylor Stout 202-567-3202,JPMORGAN CHASE BANK NA,Under Construction,Non Risk Share,2019,Mid Rise 5 Floors ,New Construction,Seniors 55+ 100 @ 50% AMI or less,LRSP,1/11/2018 12:00:00 AM,11100000,7/1/2038,1/7/2033 12:00:00 AM,Sidney,38.90517571,-76.98037736,155908,744841db-3620-4613-8e39-a1ef2a82fda0,10/13/2022 8:33:29 PM,401702.217868339,137479.165271034
3,1330 7th Street ,Ward 2,136,1974,"1330 7th Street, NW",Washington,DC,20001,"Enterprise Residential, LLC",Jay Wilson ,"Community Preservation and Development Corporation 1330 7th Street, Inc.",,,Redeemed,Risk Share ,2004,High Rise,,Residential Families 100 @ 60% AMI or less,,1/30/2004 12:00:00 AM,13240000,,1/26/2019 12:00:00 AM,Clarence,38.90811789,-77.0221966,238401,d5fcaa76-64e7-4e63-aa5c-a4a7d9721a2b,10/13/2022 8:33:29 PM,398074.998756778,137805.822370158
4,1530 First Street - MDXL,Ward 6,101,2021,"1530 First Street, SW",Washington,DC,20024,TM Associates,,"TM Associates, Inc.",,,Under Construction,Risk Share ,2021,High Rise 12 Floors,New Construction,Residential Families 20% @30%  & 80% @ 50% AMI,UBO to provide Tenant Services/ ,9/29/2021 12:00:00 AM,33350000,,9/25/2036 12:00:00 AM,Sidney,38.87122617,-77.01179193,61232,13f55764-bcfd-407f-804f-e38dacb36dab,10/13/2022 8:33:29 PM,398976.908048537,133710.386013373
5,1550 First Street,Ward 6,76,2019,"1550 First Street, SW ",Washington ,DC,20024,TM Associates,"Matt Melnick, mmelnick@tmamgroup.com","TM Associates, Inc.",Tim Barila 240-428-7799 ext.116,CEDE & CO,Under Construction,Non Risk Share,2019,High Rise 11 Floors,New Construction,Residential Families 100 @ 50% AMI or less,"LRSP, PSH, UFAS",11/21/2019 12:00:00 AM,21600000,,11/17/2034 12:00:00 AM,Sidney,38.87097654,-77.01188638,60745,3f02957c-b95e-400e-942d-f01620cb6a17,10/13/2022 8:33:29 PM,398968.708178746,133682.676291269
6,17 Mississippi Ave ,Ward 8,41,2021,17 Mississippi Avenue SE,Washington,DC,20032,TM Associates,,The NHP Foundation,,Citibank,Under Construction,Non Risk Share,2020,Mid Rise 4 Floors,New Construction,Residential Families 20% @ 30% & 80% @ 50% AMI,9 PSH Units/Community Connections (“CC”) - Tenant Services,8/6/2021 12:00:00 AM,10300000,,8/2/2036 12:00:00 AM,Sidney,38.83183787,-77.00703263,57948,be5a6d1e-7d75-48c9-99c6-0aba08975750,10/13/2022 8:33:29 PM,399389.577626947,129337.963591933
7,1736 Rhode Island avenue,Ward 5,61,2019,1736 Rhode Island avenue,Washington ,DC,20018,Residential One,"Loretta Gaegler, lgaegler@res1.net",Lock 7,Chris Rascher chris@lock7.com,JPMORGAN CHASE BANK NA,Under Construction,Non Risk Share,2019,Low Rise 4 Floors,Acquisition / New Construction,"Residential, Seniors 100 @ 50% AMI or less","LRSP, PSH, UFAS",5/30/2019 12:00:00 AM,12200000,12/1/2039,5/26/2034 12:00:00 AM,Sidney,38.92775973,-76.97955936,56748,3adca3d3-aae2-4f77-9f50-ec36c852129c,10/13/2022 8:33:29 PM,401772.607890416,139986.19503287
8,218 Vine Street,Ward 4,129,2021,"218 Vine Street NW,",Washington,DC,20012,Winn Residential,,Jair Lynch Real Estate Partners,,Freddie Mac/ Wells Fargo,Under Construction,Non Risk Share,2020,Mid Rise 4 Floors,New Construction,"10% @ 60%, 20% @30%, & 70% @ 50% AMI",Housing Up to provide Tenants services/ PSH units ,12/22/2020 12:00:00 AM,21500000,,12/19/2035 12:00:00 AM,Sidney,38.97374251,-77.01605612,300685,88b66e7a-4dc0-4ffd-ba4a-dab6ff82ad55,10/13/2022 8:33:29 PM,398608.868447856,145090.623706673
9,"2321 4th Street, NE",Ward 5,116,2016,"2321 4th Street, NE",Washington,DC,20002,E & G,"Carlos Rios 571-488-6683, crios@eandggroup.com","2321 4th Street, LLC, ",Carlos Rios 571-488-6683,BANC OF AMERICA PUBLIC CAPITAL,Active,Non Risk Share,2014,Mid Rise 5 Floors ,New Construction,Residential Families 100 @ 60% AMI or less,HAP Contract,10/21/2014 12:00:00 AM,15500000,10/1/2046,10/17/2029 12:00:00 AM,Clarence,38.92070791,-77.00009617,289738,eeb92e61-29ab-4d21-8627-87867d6be7be,10/13/2022 8:33:29 PM,399991.858400732,139203.184789055
10,2442 MLK Apartments ,Ward 8,112,2021,"2442 Martin Luther King Jr. Avenue SE, Washington, DC 20020",Washington,DC,20020,Residential One,,MidAtlantic Realty Partners,,JP Morgan Chase,Under Construction,Non Risk Share,2021,Mid Rise 5 Floors,New Construction,Residential Families 5% @ 30% & 95% @ 50% AMI,Community Connections - Tenant Services/ LRSP,1/19/2021 12:00:00 AM,27000000,,1/16/2036 12:00:00 AM,Sidney,38.86181035,-76.99324994,331211,311acfd7-57fa-45a6-9b4c-ae9620f77e87,10/13/2022 8:33:29 PM,400586.037624919,132665.116349499
11,555 E Street Seniors,Ward 6,58,2018,555 E Street,Washington,DC,20024,Bozzuto,"Lisa Halliwill 301-623-1577, lhalliwill@bozzuto.com",555 E Street SW Seniors LLC,"Rich Jordan ,rjordan@potomacinvestment.com","CITIBANK, N.A.",Under Construction,Non Risk Share,2018,High Rise 10 Floors,New Construction,Seniors 55+ 30% @ 50% AMI or less and 70% Market Rate ,"LRSP, PSH",12/15/2018 12:00:00 AM,12000000,1/1/2039,12/11/2033 12:00:00 AM,Sidney,38.88340901,-77.01941553,316452,b8e10d61-8597-4151-b81e-950ac0aa865f,10/13/2022 8:33:29 PM,398315.628581572,135062.886314787
12,636 Cooperative Apts.,Ward 6,16,1947,"636 12th Street, NE",Washington,DC,20002,Vision Realty,"Mario Lloyde 443-804-3300, mario@visionrealtymgt.com","Greater Washington Mutual Housing Association, Inc. ",Anna Perez 202-271-4763,,Active,Risk Share ,2002,Garden 3 Floor,Acquisition / Rehab,Residential Families 40 @ 60% AMI,,6/1/2000 12:00:00 AM,610000,,5/29/2015 12:00:00 AM,Clarence,38.8983742,-76.99061073,2323,96540a95-3639-4a04-ae4c-ca33ef4be9f3,10/13/2022 8:33:29 PM,400814.678041677,136724.002032642
13,Ainger Place,Ward 8,72,,"2412 Ainger Place, SE",Washington,DC,20020,The Micheals Organization,"Richard White, rwhite@tmo.com",The Michaels Development Company ,"Michael O'Shea, moshea@tmo.com",CEDE & CO,UC,NR,,LR3,NC,"Residential, Homeless, 100 @ 50%AMI","LRSP, PSH, UFAS ",10/25/2018 12:00:00 AM,13750000,11/1/2021,10/21/2033 12:00:00 AM,Clarence,38.85695835,-76.97105784,287032,87e83e53-e05a-4c4d-9929-c256dd0e4bec,10/14/2022 2:32:09 PM,402512.267040019,132126.885859227
14,Alabama Avenue (Roundtree Residence),Ward 8,91,2012,"2515 Alabama Avenue, SE",Washington,DC,20020,CIH,April Baskin - abaskin@cihproperties.com,CIH Properties,"Kevin O'Malley, komalley@cihproperties.com",CEDE & CO,Active,Non Risk Share,2012,Mid Rise 4 Floors,New Construction,Seniors 55+ 100 @ 60% AMI or less,,10/27/2011 12:00:00 AM,5050000,1/1/2044,10/23/2026 12:00:00 AM,Clarence,38.85738743,-76.96906908,309359,a27df36f-1d48-429e-a8de-2a9f09d94687,10/13/2022 8:33:29 PM,402684.867676414,132174.57341714
15,Anacostia Gardens,Ward 7,100,2020,3600 Ely Pl. SE,Washington,DC,20019,Winn Residential,"Kareem Slater - Slater, Kareem <kslater@WINNCO.COM> & Ringgold, Stacy R <sringgold@winnco.com>",The NHP Foundation,"John Hoffer,202-312-2511, jhoffer@nhpfoundation.org",ALLIANZ LIFE INSURANCE COMPANY OF NORTH AMERICA,Under Construction,Non Risk Share,2020,Mid Rise 4 Floors,New Construction,Residential Families 100 @ 60% AMI or less,,1/7/2020 12:00:00 AM,13850000,,1/3/2035 12:00:00 AM,Clarence,38.88400505,-76.95458126,33069,e3356cfd-dd13-4397-8cc0-543e6dc3616b,10/13/2022 8:33:29 PM,403940.877517406,135129.852364004
16,Archer Park,Ward 8,190,2017,"1200 Mississippi Ave,  SE,",Washington,DC,20032,WC Smith,"Alison Ritz, aritz@wcsmith.com",WC Smith,"J. Harris , jharris@wcsmith.com",STI INSTITUTIONAL & GOVERNMENT INC,Active,Non Risk Share,2018,Mid Rise 5 Floors,New Construction,Residential Families 100 @ 60% AMI,"LRSP, HPF ",2/29/2016 12:00:00 AM,28285000,2/1/2019 - 2/1/2035,2/25/2031 12:00:00 AM,Clarence,38.83992453,-76.98951714,296061,45a72809-697d-4fef-91d4-c6403de002be,10/13/2022 8:33:29 PM,400910.28733114,130235.666445246
17,Arthur Capper - Phase I,Ward 8,162,2006,"900 5th Street, SE",Washington,DC,20003,Edgewood,"Sandy Thomas, sthomas@emcmgmt.com",Urban Atlantic / Forest City Residential,,,Redeemed,,2005,Mid Rise 5 Floors ,New Construction,Seniors 62+ 100 @ 60% AMI or less,ACC,12/1/2004 12:00:00 AM,9000000,,11/28/2019 12:00:00 AM,Clarence,38.87879424,-76.99919638,302625,0212270c-3d52-401a-877e-2f7f3a529b45,10/13/2022 8:33:29 PM,400069.927842335,134550.432790383
18,Arthur Capper II,Ward 8,138,2005,"900 5th Street, SE",Washington,DC,20003,Edgewood,"Sandy Thomas, sthomas@emcmgmt.com",Urban Atlantic / Forest City Residential,,,Redeemed,,,,New Construction,Seniors 62+ 100 @ 60% AMI or less,ACC,10/1/2005 12:00:00 AM,9070000,,9/27/2020 12:00:00 AM,Clarence,38.87879424,-76.99919638,302625,742090af-6326-40bd-bee8-10d8bcda3d45,10/13/2022 8:33:29 PM,400069.927842335,134550.432790383
19,Arthur Capper TH - Phase I,Ward 8,39,2009,"900 5th Street, SE",Washington,DC,20003,Edgewood,"Sandy Thomas, sthomas@emcmgmt.com",Urban Atlantic / Forest City Residential,,,Redeemed,,2008,Townhomes ,New Construction,Residential Families 100 @ 60% AMI or less,ACC,5/1/2008 12:00:00 AM,5000000,,4/28/2023 12:00:00 AM,Clarence,38.87879424,-76.99919638,302625,6c10fd96-c738-48eb-ad19-8caab793df2a,10/13/2022 8:33:29 PM,400069.927842335,134550.432790383
